tradeCreatedAt,orderId,symbol,side,price,size,funds,fee,liquidity,feeCurrency,orderType,tax,
2024-11-16 09:56:13,6737fbbdae43c40007ac1b8d,PNUT-USDT,sell,1.7584,2.01,3.534384,0.003534384,taker,USDT,market,0,
2024-11-16 09:56:12,6737fbbc08e10c00074c520e,PNUT-USDT,buy,1.7611,2.02,3.557422,0.003557422,taker,USDT,market,0,
2024-11-16 09:34:01,6737f5f5f53c5a0007e4cf0d,PNUT-USDT,buy,1.7676,2.01,3.552876,0.003552876,maker,USDT,limit,0,
2024-11-16 09:14:57,6737f1fdcf1a870007ac2fc7,PNUT-USDT,sell,1.7564,2.02,3.547928,0.003547928,maker,USDT,limit,0,
2024-11-16 09:14:02,6737f1da54d62a0007b95826,PNUT-USDT,buy,1.757,2.02,3.54914,0.00354914,taker,USDT,market,0,
2024-11-16 08:46:29,6737eb65f53c5a0007ad76cc,PNUT-USDT,sell,1.7055,2.08,3.54744,0.00354744,maker,USDT,limit,0,
2024-11-16 08:45:54,6737eb423cda650007181a57,PNUT-USDT,buy,1.7067,0.91,1.553097,0.001553097,taker,USDT,market,0,
2024-11-16 08:45:54,6737eb423cda650007181a57,PNUT-USDT,buy,1.7064,1.13,1.928232,0.001928232,taker,USDT,market,0,
2024-11-16 08:31:31,6737e656858fce00078ade94,PNUT-USDT,sell,1.6707,2.17,3.625419,0.003625419,maker,USDT,limit,0,
2024-11-16 08:30:59,6737e6214bcca60007c4afbb,PNUT-USDT,sell,1.658,2.14,3.54812,0.00354812,maker,USDT,limit,0,
2024-11-16 08:24:53,6737e655c95c310007af58ed,PNUT-USDT,buy,1.638,2.17,3.55446,0.00355446,maker,USDT,limit,0,
2024-11-16 08:24:45,6737e64df53c5a0007900d2f,PNUT-USDT,sell,1.6313,2.11,3.442043,0.003442043,taker,USDT,market,0,
2024-11-16 08:23:59,6737e368fc90220007850d83,PNUT-USDT,buy,1.6575,2.1,3.48075,0.00348075,maker,USDT,limit,0,
2024-11-16 08:13:37,6737e3a6355a360007043c41,PNUT-USDT,buy,1.6836,2.11,3.552396,0.003552396,maker,USDT,limit,0,
2024-11-16 08:13:25,6737e384429d8b0007d1f427,PNUT-USDT,sell,1.683,3.82,6.42906,0.00642906,maker,USDT,limit,0,
2024-11-16 08:12:49,6737e36dab0f0a00073005e2,PNUT-USDT,buy,1.681,2.11,3.54691,0.00354691,maker,USDT,limit,0,
2024-11-16 08:12:27,6737e36bd181be000705e4b3,PNUT-USDT,sell,1.688,0.92,1.55296,0.00155296,taker,USDT,market,0,
2024-11-16 08:12:27,6737e36bd181be000705e4b3,PNUT-USDT,sell,1.688,1.12,1.89056,0.00189056,taker,USDT,market,0,
2024-11-16 08:12:23,6737e3673cda650007ea47fb,PNUT-USDT,sell,1.6914,2.1,3.55194,0.00355194,taker,USDT,limit,0,
2024-11-16 08:12:23,6737e338fc9022000783e934,PNUT-USDT,buy,1.6915,3.8,6.4277,0.0064277,maker,USDT,limit,0,
2024-11-16 08:11:36,6737e337cf1a870007598315,PNUT-USDT,sell,1.6928,3.8,6.43264,0.00643264,maker,USDT,limit,0,
2024-11-16 08:11:35,6737dd8c1d47600007e96091,PNUT-USDT,buy,1.6906,2.06,3.482636,0.003482636,maker,USDT,limit,0,
2024-11-16 07:47:23,6737dd861d47600007e946f0,PNUT-USDT,sell,1.7252,2.06,3.553912,0.003553912,maker,USDT,limit,0,
